KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by the Kaiser Family Foundation. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage and those multiple sources of coverage are shown in this table. The categories reported here are mutually exclusive. Data may not sum to totals due to rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Employer Only*: Includes those covered by employer-sponsored coverage either through their own job or as a dependent in the same household. *Non-Group Only*: Includes individuals and families who purchased or are covered as a dependent by non-group insurance. *Medicaid and Private Insurance*: Includes those covered by Medicaid and private insurance through an employer or non-group insurance. *Medicaid and Medicare*: Includes those covered by both Medicaid and Medicare, also known as dual eligibles. *Medicaid Only*: Includes those covered by Medicaid, Medical Assistance, Children's Health Insurance Plan (CHIP) or any kind of government-assistance plan for those with low incomes or a disability. *Medicare and Private Insurance*: Includes those covered by Medicare and private insurance through an employer or non-group insurance. *Medicare Only*:  Includes those covered by Medicare alone.  *Military*: Includes those covered under the military or Veterans Administration. *Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only. *N/A*: Estimates with relative standard errors greater than 30% are not provided. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status of State Action on the Medicaid Expansion Decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alaska: Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona: Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arkansas: Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida: A recent Medicaid expansion ballot initiative effort was delayed by its organizing committee to the 2022 ballot. On January 14, 2020, Democratic legislators introduced bills in both the state House and Senate to put a constitutional amendment expanding Medicaid to a statewide vote, but these are likely to fail in the Republican-controlled legislature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia: On March 27, 2019, Republican Governor Brian Kemp signed The Patients First Act, which aimed to address challenges in healthcare including the state’s high uninsured rates. The bill authorized the Georgia Department of Community Health to submit a Section 1115 waiver request that could include a Medicaid expansion limited to coverage up to 100% FPL. The bill allocated funds which the Department used to contract with Deloitte to develop this waiver request as well as potential Section 1332 waiver requests. In accordance with the March legislation, on October 31, 2019, Kemp released a proposed 1332 waiver seeking to implement a reinsurance program and make other changes to marketplace coverage. On November 4, 2019 his office released a proposed 1115 waiver called Georgia Pathways to Coverage which would expand Medicaid coverage to 100% FPL and requests the enhanced ACA funding match despite a July [statement](https://www.cms.gov/newsroom/press-releases/cms-statement-partial-medicaid-expansion-policy) from CMS indicating that it will not provide this match for partial expansions. Georgia Pathways also includes work requirements, premiums, and copayments. The state submitted this waiver to CMS on December 23, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho: Idaho voters approved a ballot measure in November 2018 that requires the state to submit a state plan amendment (SPA) to the Centers for Medicare and Medicaid Services (CMS) to implement the Medicaid expansion within 90 days of approval of the measure. Idaho submitted a SPA for the Medicaid expansion in February 2019. On April 9, 2019, Idaho Governor Little signed a bill passed by the legislature that makes changes to the Medicaid expansion program approved by voters. The legislation directs the Idaho Department of Health and Welfare to seek waivers for multiple changes, including to add a work requirement as a condition of eligibility for coverage. The legislation specifies that if the waivers are not approved by January 1, 2020, then all individuals up to 138% FPL will be enrolled in Medicaid. Enrollment in Medicaid coverage under expansion began on November 1, 2019, and coverage for these enrollees began on January 1, 2020. The state is still working with CMS to secure approvals of four waivers that it submitted at direction from the April legislation.,Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana: Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).,Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa: Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas: Medicaid expansion passed in the Kansas legislature in 2017, but was vetoed by Republican Sam Brownback, the Governor at the time. In 2018, Democratic Governor Laura Kelly ran for office on the issue of expansion, but Republican leaders in the 2019 session blocked her expansion bill from a vote in the Senate despite its passage in the House on March 20, 2019. On October 23, 2019, Republican Senate Majority Leader Jim Denning proposed his own version of Medicaid expansion, which the Senate Select Committee on Healthcare Access recommended get further study in the 2020 legislative session. On January 9, 2020, Kelly and Denning announced a bipartisan Medicaid expansion bill that compromises between the 2017 bill vetoed by Brownback, the 2019 bill adopted by the House, and Denning’s October plan. The bill would expand Medicaid by January 1, 2021 and would fund the state’s share of the cost with a capped surcharge on hospitals. In addition to provisions such as premiums and a work referral program, the bill also directs the state to apply for waivers that would transition those between 100-138% of the FPL from Medicaid expansion coverage to Marketplace coverage, although the expansion is not contingent on approval of these waivers. The Senate bill is co-sponsored by 11 Republicans and 11 Democrats, and House members from both parties have expressed their support as well. Republican President Susan Wagle stalled the bill’s progress, however, by pledging not to allow a vote on expansion until an anti-abortion bill passed the House. The 2020 legislative session ended with no further progress on the bill after Democrats tried to force a vote on Medicaid expansion and failed on May 21, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kentucky: On March 27, 2019, the [court set aside](https://ecf.dcd.uscourts.gov/cgi-bin/show_public_doc?2018cv0152-132) the [reapproved Kentucky HEALTH waiver](https://www.medicaid.gov/Medicaid-CHIP-Program-Information/By-Topics/Waivers/1115/downloads/ky/ky-health-ca.pdf). In its previous [decision](https://ecf.dcd.uscourts.gov/cgi-bin/show_public_doc?2018cv0152-74), the court had set aside the original waiver approval, and on November 20, 2018, [CMS reapproved the Kentucky HEALTH waiver](https://www.medicaid.gov/Medicaid-CHIP-Program-Information/By-Topics/Waivers/1115/downloads/ky/ky-health-ca.pdf) with minor technical changes. Unless and until HHS issues another approval that passes legal muster or prevails on appeal, the work requirement, monthly premiums up to 4% of income, coverage lockouts for failure to timely renew eligibility or timely report a change in circumstances, heightened cost-sharing for non-emergency ER use, and elimination of retroactive eligibility and non-emergency medical transportation will not be implemented. The separate ""institution for mental disease"" substance use disorder payment waiver was not set aside and was allowed to go into effect. Kentucky's expansion program was originally implemented and continues to operate under SPA authority. On November 5, 2019, Democratic Attorney General Andy Beshear defeated incumbent Republican Matt Bevin in Kentucky’s gubernatorial race. On December 16, 2019, Beshear signed an executive order rescinding the Kentucky HEALTH waiver.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana: Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maine: Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).,Maine implemented expansion on January 10, 2019. Maine adopted the Medicaid expansion through a ballot initiative in November 2017. After former Governor LePage delayed implementation of the expansion for months, new Governor Mills signed an executive order on her first day in office (January 3, 2019) directing the Maine Department of Health and Human Services to begin expansion implementation and provide coverage to those eligible retroactive to July 2018. CMS approved the state's plan retroactive to July 2, 2018 on April 3, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan: Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).,Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mississippi: Medicaid expansion was a key issue in the 2019 Mississippi gubernatorial election, dividing candidates in both the August 27 Republican primary and in the November 5 general election. Republican Lieutenant Governor Tate Reeves, who adamantly opposes expansion, ultimately won both races, making it unlikely that the state will take up expansion in the next four years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missouri: On September 4, 2019, Healthcare for Missouri announced its commitment to putting Medicaid expansion on the state’s November 2020 ballot. On May 1, 2020, the campaign committee submitted nearly 350,000 signatures to the MO Secretary of State, and the Secretary verified the petition as complete on May 22, 2020. In Missouri, ballot initiative questions are automatically placed on the November general election ballot unless the Governor intervenes; on May 26, 2020, Republican Governor Mike Parson announced that the Medicaid expansion question would appear on the August 4, 2020 primary ballot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montana: On April 18, 2019, the Montana Legislature passed a bill (which was signed by Governor Bullock on May 9, 2019) to continue the state’s expansion program with significant changes until 2025. This action came after Montana voters voted down a measure on the November 2018 ballot that would have extended the Medicaid expansion beyond the June 30, 2019 sunset date and raised taxes on tobacco products to finance the expansion. The approved bill directs the state to seek federal waiver authority to make several changes to the existing expansion program, including adding a work requirement as a condition of eligibility and increasing the premiums required of many beneficiaries. Per the legislation, the state submitted a Section 1115 waiver proposal with these changes to CMS on August 30, 2019 and the request is pending.,Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).,Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nebraska: Nebraska voters approved a Medicaid expansion ballot measure in November 2018 and the state submitted a state plan amendment (SPA) for the expansion on April 1, 2019. The SPA delays Medicaid expansion implementation until October 1, 2020 to allow time for the state to seek a Section 1115 waiver to implement expansion with program elements that differ from what is allowed under federal law. On December 12, 2019, the state submitted this waiver to CMS for review. On April 10, 2020, the Nebraska Department of Health and Human Services announced that CMS would not finish approval of this waiver ahead of the planned implementation date. The Department plans to implement expansion on October 1, 2020 without the program elements from the 1115 waiver, with applications beginning August 1, 2020.,Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Hampshire: Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).,Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Mexico: Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina: On June 28, 2019, Democratic Governor Roy Cooper vetoed the state budget proposed by the Republican-controlled legislature largely over the issue of Medicaid expansion. On September 11, 2019, Republican House Speaker Tim Moore held a successful veto override vote with 64 of the House’s 120 members present. The budget was then referred to the Senate, where Republicans were unable to secure the votes necessary to override the veto before the legislature adjourned its session on October 31, 2019 without a new budget. On September 18, 2019, the House Health Committee passed House Bill 655, a Medicaid expansion bill with work requirements and premiums; however, the House did not schedule any votes on this bill before the October 31 session adjournment. Neither House Bill 655 nor the budget veto override vote have moved forward since the fall. In April 2020, Senate Republicans announced they would no longer attempt to veto the budget due to the coronavirus pandemic. The legislature has also not voted on Medicaid expansion in the 2020 legislative session.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio: Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma: Oklahoma voters approved a ballot measure on June 30, 2020 which adds Medicaid expansion to the state’s Constitution. The amendment requires the Oklahoma Health Care Authority to submit a SPA and other necessary documents to CMS within 90 days of the ballot measure’s approval, and for expansion coverage to begin no later than July 1, 2021. Separately, the Oklahoma Health Care Authority had submitted and then on May 28, 2020 withdrawn a SPA to expand Medicaid. The Authority had also submitted to CMS on April 20, 2020 its [Healthy Adult Opportunity waiver](https://www.okhca.org/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=24704&libID=23687) to [change the financing structure of the program](https://www.kff.org/medicaid/issue-brief/implications-of-cmss-new-healthy-adult-opportunity-demonstrations-for-medicaid/) and impose premiums and work requirements on expansion enrollees. If approved, this plan would go into effect on July 1, 2021; however, language in the approved ballot measure prohibits the imposition of any additional burdens or restrictions on eligibility or enrollment for the expansion population.,Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania: Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Dakota: In May 2019, the group South Dakota Community Action submitted a Medicaid expansion ballot initiative measure to the state’s Legislative Research Council for review. On June 3, 2019, the Council responded that the measure satisfied the process for review and directed South Dakota Community Action to re-submit the final measure for a fiscal estimate; the initiative has not progressed since. On April 17, 2020, the South Dakota Democratic Party released a [statement](https://sddp.org/stronger-measures-needed-for-covid-19-effects/) urging Republican Governor Kristi Noem to consider expanding Medicaid via Executive Order to address the COVID-19 pandemic by increasing access to health care.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utah: Since Utah voters approved a November 2018 ballot measure to adopt the ACA Medicaid expansion up to 138% of the FPL, the state legislature has taken steps to roll back the full expansion. The state enacted a law in February 2019 that amended the voter-approved ballot measure, requiring the state to submit a series of Section 1115 waiver requests limiting the expansion to 100% FPL, first at its regular matching rate and then requesting the enhanced federal matching rate of 90%. The first waiver, the ""Bridge Plan,"" was approved in March 2019, and allowed the state to implement a coverage expansion to 100% FPL beginning April 1, 2019, at the state’s regular matching rate. In accordance with the legislation, the state also submitted to CMS its ""Per Capita Cap"" waiver on July 31, 2019 and subsequently its ""Fallback Plan"" waiver on November 4, 2019. On December 23, 2019, CMS approved the Fallback Plan waiver’s request to expand Medicaid eligibility to 138% FPL, effective January 1, 2020. CMS also approved several other requests from this waiver, including work requirements for the newly-expanded adult Medicaid population, but did not approve the request to cap enrollment. CMS is continuing to review numerous other provisions in the Fallback Plan waiver.,Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).,Arizona, Arkansas, Indiana, Iowa, Michigan, Montana, New Hampshire, New Mexico, Ohio, and Utah have approved Section 1115 waivers to operate their Medicaid expansion programs in ways not otherwise allowed under federal law. Arkansas continues to operate its expansion program through a waiver, however, the waiver provisions related to the work requirement and reduction of retroactive eligibility were set aside by court on March 27, 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia: The Virginia General Assembly approved Medicaid expansion as part of its FY 2019-2020 budget on May 30, 2018; Governor Northam signed the budget into law on June 7, 2018. Expansion coverage became effective under state plan amendment (SPA) authority on January 1, 2019 after enrollment began on November 1, 2018. ,Coverage under the Medicaid expansion became effective January 1, 2014 in all states that have adopted the Medicaid expansion except for the following: Michigan (4/1/2014), New Hampshire (8/15/2014), Pennsylvania (1/1/2015), Indiana (2/1/2015), Alaska (9/1/2015), Montana (1/1/2016), Louisiana (7/1/2016), Virginia (1/1/2019), Maine (1/10/2019 with coverage retroactive to 7/2/2018), Idaho (1/1/2020), Utah (1/1/2020), Nebraska (planned for 10/1/2020), and Oklahoma (planned for 7/1/2021 or earlier).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin: Wisconsin covers adults up to 100% FPL in Medicaid but did not adopt the ACA expansion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wyoming: On November 12, 2019, the Wyoming legislature’s Joint Revenue Committee voted to move forward a Medicaid expansion bill to the full legislature. If passed, the bill would allow the Governor to direct state agencies to consider options for Medicaid expansion and then, if expansion is recommended, to direct the Health Department to submit an expansion plan to CMS with the Legislature’s approval. At the beginning of the legislature’s 2020 session on February 10, 2020, however, the House voted against including the bill on its consent agenda. A bill filed on February 13, 2020 by Republican Representative Pat Sweeney to put a constitutional amendment to expand Medicaid on the November 2020 ballot also failed in the House on February 14, 2020. The Legislature may revisit the topic, however: at a meeting focused on addressing the COVID-19 crisis on May 8, 2020 lawmakers voted to make Medicaid expansion a priority discussion topic for the Joint Revenue Committee in upcoming months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"States' decisions about adopting the Medicaid expansion are as of February 19, 2020. To view and download a map of these data, please click [here](https://www.kff.org/medicaid/issue-brief/status-of-state-medicaid-expansion-decisions-interactive-map/). A central goal of the Affordable Care Act (ACA) is to significantly reduce the number of uninsured by providing a continuum of affordable coverage options through Medicaid and the Health Insurance Marketplaces. The ACA expands Medicaid coverage for most low-income adults to 138% of the federal poverty level (FPL); see this [table](http://kff.org/health-reform/state-indicator/medicaid-income-eligibility-limits-for-adults-as-a-percent-of-the-federal-poverty-level-january-2015/) for state by state Medicaid income eligibility levels for adults. Following the June 2012 Supreme Court decision, states face a decision about whether to adopt the Medicaid expansion. It is important to note that per CMS guidance, there is no deadline for states to implement the Medicaid expansion. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current status for each state is based on KFF tracking and analysis of state executive activity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent of Adults Without a Usual Place of Medical Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: Data presented for the United States represents the national average. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are based on findings from the Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS) National Health Interview Survey (NHIS), 2014. Adults are defined as individuals ages 18 - 64.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
